gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,14,000886309,USA,3661,I,2004,10,2004-10-31,1428.1,768.8,784.3,78.2,233.0,41.7,501.6,0.0,16.4,400.0,0.3
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,14,000886309,USA,3661,I,2005,10,2005-10-31,1535.0,761.1,1169.2,159.0,221.1,67.2,445.4,0.0,110.7,400.0,0.3
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,19,001038108,USA,7380,I,2000,12,2000-12-31,28.638,15.454,42.504,5.443,12.075,2.028,1.818,0.335,1.762,1.12,0.666
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,19,001038108,USA,7380,I,2001,12,2001-12-31,30.836,18.81,45.05,4.689,12.039,2.032,1.763,0.325,1.29,0.582,2.547
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,19,001038108,USA,7380,I,2002,12,2002-12-31,,,,,,,,,,,
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,19,001038108,USA,7380,I,2003,12,2003-12-31,,,,,,,,,,,
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,19,001038108,USA,7380,I,2004,12,2004-12-31,,,,,,,,,,,
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,19,001038108,USA,7380,I,2005,12,2005-12-31,,,,,,,,,,,
001021,AFP IMAGING CORP,IWKS,19,001058205,USA,3844,I,2000,6,2000-06-30,11.608,7.153,25.367,0.672,0.892,0.7,0.434,0.0,-0.808,4.875,0.195
001021,AFP IMAGING CORP,IWKS,19,001058205,USA,3844,I,2001,6,2001-06-30,8.635,5.918,24.051,0.381,0.61,0.761,0.198,0.0,-1.738,3.873,0.142
001021,AFP IMAGING CORP,IWKS,19,001058205,USA,3844,I,2002,6,2002-06-30,7.85,5.027,20.087,0.711,0.434,0.355,0.516,0.0,0.084,2.546,0.328
001021,AFP IMAGING CORP,IWKS,19,001058205,USA,3844,I,2003,6,2003-06-30,6.044,4.724,18.044,0.205,0.452,0.205,0.658,0.0,-1.515,0.631,2.141
001021,AFP IMAGING CORP,IWKS,19,001058205,USA,3844,I,2004,6,2004-06-30,6.245,3.58,19.833,1.614,0.389,0.16,0.332,0.0,1.345,0.222,1.452
001021,AFP IMAGING CORP,IWKS,19,001058205,USA,3844,I,2005,6,2005-06-30,8.153,3.49,23.135,1.856,0.389,0.177,0.331,0.0,1.9,0.0,0.675
001034,ALPHARMA INC  -CL A,ALO.2,11,020813101,USA,2834,I,2000,12,2000-12-31,1610.435,762.548,900.794,190.533,345.042,64.836,72.931,6.526,55.508,504.445,20.676
001034,ALPHARMA INC  -CL A,ALO.2,11,020813101,USA,2834,I,2001,12,2001-12-31,2390.008,1498.392,974.99,163.601,482.206,77.611,14.894,7.541,-37.914,1030.254,30.338
001034,ALPHARMA INC  -CL A,ALO.2,11,020813101,USA,2834,I,2002,12,2002-12-31,2296.924,1295.081,1230.762,187.264,482.273,44.565,23.872,9.235,-99.661,847.266,48.592
001034,ALPHARMA INC  -CL A,ALO.2,11,020813101,USA,2834,I,2003,12,2003-12-31,2329.268,1197.279,1297.285,155.228,481.554,49.681,58.623,9.32,13.833,782.249,34.907
001034,ALPHARMA INC  -CL A,ALO.2,11,020813101,USA,2834,I,2004,12,2004-12-31,2003.842,1120.2,1339.48,153.829,457.296,87.216,105.212,9.404,-314.737,10.0,691.735
001034,ALPHARMA INC  -CL A,ALO.2,11,020813101,USA,2834,I,2005,12,2005-12-31,1623.383,705.305,553.617,163.101,215.174,67.106,800.01,9.481,133.769,0.017,416.669
001037,AM COMMUNICATIONS INC,AMCM.,19,001674100,USA,3663,I,1999,3,2000-03-31,4.575,3.8,10.082,-0.751,0.216,0.279,0.079,0.0,-1.121,0.093,0.782
001037,AM COMMUNICATIONS INC,AMCM.,19,001674100,USA,3663,I,2000,3,2001-03-31,6.373,4.253,15.894,1.481,0.267,0.169,0.35,0.0,1.164,0.061,1.282
001037,AM COMMUNICATIONS INC,AMCM.,19,001674100,USA,3663,I,2001,3,2002-03-31,17.867,10.571,28.705,1.583,1.719,0.445,0.192,0.0,0.67,1.943,4.063
