,Obs,Mean,Std.Dev.,Min,P25,Median,P75,Max
book_leverage,152621.0,0.42748343527540267,1.1314122431977984,0.0,0.03318992374566063,0.19578754284059274,0.4189439016669808,9.640463848505867
roa,152621.0,-0.5087049497929699,2.3883994010846976,-19.710255789250056,-0.1358210406873075,0.008380549707001719,0.04829664279434235,0.4394668482583926
log_assets,152621.0,5.607310272147835,2.9502759141267956,-3.3813947543659757,3.8268354188666946,5.970909736993221,7.641335898584434,11.665055300146856
asset_tangibility,152621.0,0.21414057883314347,0.2505727713299006,0.0007680327615343,0.02310556285589137,0.10266511494456677,0.3214990312563588,0.9143230659738049
cash_holdings,152621.0,0.21242884402032094,0.26148423518349057,0.0004049900629985716,0.028731892478116042,0.09254707364452906,0.2983586949298957,0.9873983459673782
non_debt_tax_shield,152621.0,0.06319148640057928,2.570723466186198,-0.01018609206660137,0.008842549821829221,0.028108037002789524,0.049771806743918304,706.0
ceo_payslice,47391.0,0.38635403139237917,0.13361075760614036,0.0,0.311433632779338,0.3899277719669233,0.4597805056823404,1.263887594018445
gdp_growth,152621.0,0.021733730875603593,0.016236390176638714,-0.025411536884212604,0.01551852007332477,0.023997884845648576,0.029941434967617697,0.05756179192135091
inflation,152621.0,0.025475555780276275,0.01510823486900088,-0.0002222800255385904,0.01603665521191311,0.023195274699624457,0.03338549817423053,0.07159457345112474
fed_funds,152621.0,1.9750783913528713,1.9602930335022617,0.08,0.16,1.3491666666666668,3.2133333333333334,6.235833333333333
credit_spread,152621.0,2.5265822649902656,0.6243548291826325,1.5899999999999999,1.941111111111111,2.3137499999999998,2.9657142857142853,3.855714285714286
unemp_rate,152621.0,5.7150100575936476,1.754011906752628,3.6333333333333333,4.608333333333333,5.2749999999999995,6.158333333333334,9.608333333333334
