gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc,log_assets,ebitda_margin,asset_tangibility,cash_holdings,non_debt_tax_shield,roa,book_leverage,lev
018040,REPUBLIC FIRST BANCORP INC,FRBKQ,19,760416107,USA,6020,A,2001,12,2001-12-31,652.329,605.486,51.958,8.618,5.211,0.954,41.42,,2.114,131.0,17.5,6.480549035885259,0.16586473690288311,0.007988300382169121,0.06349556742073402,0.0014624522288599771,0.0032406960291509346,0.22764586581310967,0.22764586581310967
013760,NORTH AMERICAN TECHNOLOGIES,NAMC,19,657193306,USA,3089,I,2002,12,2002-12-31,7.619,2.708,1.677,-2.038,1.988,0.28,2.428,,-2.014,1.738,,2.030645127490873,-1.2152653548002383,0.26092663079144246,0.31867699173119834,0.036750229688935564,-0.2643391521197007,0.2281139257120357,0.2281139257120357
063915,ALLIN CORP,ALLN,19,019924208,USA,7373,I,2011,12,2011-12-31,7.446,12.313,10.157,-1.39,0.151,0.371,1.427,,-1.83,,0.275,2.0076769754505253,-0.13685143250959927,0.020279344614558152,0.19164652162234758,0.04982540961590116,-0.24576954069298954,0.03693258125167876,0.03693258125167876
011372,NEW CONCEPT ENERGY INC,GBR,12,643611106,USA,6512,A,2006,12,2006-12-31,9.702,7.623,4.268,-0.453,6.833,0.369,0.324,,1.301,6.078,0.135,2.272332049823025,-0.10613870665417058,0.7042877757163472,0.03339517625231911,0.038033395176252316,0.13409606266749124,0.6403834260977118,0.6403834260977118
061439,RADISYS CORP,RSYS,14,750459109,USA,3577,I,2014,12,2014-12-31,160.72,82.944,192.742,-2.855,9.786,20.24,31.242,,-27.581,,28.0,5.079663720506679,-0.014812547343080388,0.060888501742160275,0.19438775510204082,0.12593330014932802,-0.1716090094574415,0.17421602787456447,0.17421602787456447
008264,PG&E CORP,PCG,11,69331C108,USA,4931,A,2003,12,2003-12-31,30175.0,25674.0,10435.0,3725.0,18107.0,1222.0,4061.0,,420.0,4321.0,600.0,10.314769045965733,0.3569717297556301,0.60006628003314,0.13458160729080365,0.040497100248550126,0.013918806959403479,0.16308202154101076,0.16308202154101076
115555,BEACH FIRST NATL BANCSHRS/SC,BFNBQ,19,073334104,USA,6020,I,2005,12,2005-12-31,397.389,358.264,22.038,7.894,6.673,0.539,29.806,,3.36,39.314,6.5,5.984915649815144,0.35819947363644616,0.016792110501297218,0.0750045924773962,0.001356353598111674,0.00845519126095589,0.11528753941352177,0.11528753941352177
126036,PARAMOUNT GOLD NEVADA CORP,PZG,12,69924M109,USA,1040,A,2018,6,2018-06-30,51.197,2.001,,-6.274,48.869,0.155,0.298,,-6.068,,,3.9356809365787813,0.11070856853989385,0.9143230659738049,0.005820653553919175,0.0030275211438170204,-0.11852256968181728,0.0,0.0
157057,ASSURANT INC,AIZ,11,04621X108,USA,6351,A,2012,12,2012-12-31,28946.607,23761.241,8475.07,947.302,250.796,124.387,1754.306,69.393,483.705,972.399,,10.273208274059902,0.11177512398127686,0.00866408971524711,0.06060489231086739,0.00429711848438748,0.01671024863121263,0.033592849068631775,0.033592849068631775
007985,NORTHROP GRUMMAN CORP,NOC,11,666807102,USA,3812,A,2021,12,2021-12-31,42579.0,29653.0,35667.0,4910.0,9549.0,1239.0,3530.0,989.0,7005.0,14367.0,290.0,10.659116452967368,0.13766226483864638,0.22426548298456986,0.08290471828835812,0.029098851546537026,0.16451772000281828,0.34423072406585403,0.34423072406585403
063635,LCC INTERNATIONAL INC  -CL A,LCCI,19,501810105,USA,8711,I,2005,12,2005-12-31,118.953,65.202,193.973,-5.174,3.642,2.996,15.337,,-12.527,,2.975,4.778728457111889,-0.02667381542792038,0.030617134498499406,0.12893327616789824,0.025186418165157667,-0.10531050078602472,0.025009877850915907,0.025009877850915907
064166,QUEST DIAGNOSTICS INC,DGX,11,74834L100,USA,8071,A,2013,12,2013-12-31,8948.0,4975.0,7146.0,1434.0,805.0,282.0,187.0,181.0,849.0,3120.0,212.0,9.09918532261002,0.20067170445004198,0.08996423781850693,0.020898524810013412,0.03151542244076889,0.0948815377738042,0.3723737147966026,0.3723737147966026
176362,AEROVIRONMENT INC,AVAV,14,008073108,USA,3721,A,2023,4,2024-04-30,1015.86,193.115,716.72,109.245,76.635,35.052,73.301,,59.666,39.837,19.841,6.923490823368195,0.15242354057372476,0.07543854468135373,0.07215659638139114,0.03450475459216821,0.05873447128541334,0.05874628393676294,0.05874628393676294
014549,GLASSMASTER CO,GLMA,19,377226204,USA,2820,I,2001,8,2001-08-31,12.319,11.371,18.916,-0.24,4.962,0.875,0.099,,-1.272,5.218,3.72,2.511142785979837,-0.012687671812222457,0.4027924344508482,0.008036366588197093,0.07102849257244906,-0.10325513434532023,0.7255459047000569,0.7255459047000569
184717,AMYRIS INC,AMRSQ,19,03236M200,USA,2860,I,2012,12,2012-12-31,242.834,176.605,73.694,-141.398,163.121,14.57,30.689,,-205.139,102.083,4.691,5.492378082330574,-1.9187179417591662,0.6717387186308342,0.12637851371718953,0.05999983527842065,-0.8447705016595699,0.4396995478392647,0.4396995478392647
114612,ALLBRITTON COMMUNICATIONS CO,0069A,,01699W004,USA,4833,A,2002,9,2002-09-30,268.994,516.067,196.169,64.164,56.573,13.31,6.299,,3.514,439.869,0.574,5.594689074520369,0.32708531929101947,0.21031324118753575,0.02341687918689636,0.04948065756113519,0.013063488404945834,1.6373710937790433,1.6373710937790433
170969,TESARO INC,TSRO,14,881569107,USA,2836,I,2010,12,2010-12-31,2.715,3.302,,-1.707,0.055,0.007,2.533,,-8.975,,,0.9987919533858987,0.11070856853989385,0.020257826887661142,0.9329650092081031,0.0025782688766114183,-3.305709023941068,0.0,0.0
021440,LANDSTAR SYSTEM INC,LSTR,14,515098101,USA,4213,A,2011,12,2011-12-31,808.449,507.872,2650.787,209.059,142.146,25.814,108.844,9.983,113.007,115.13,43.117,6.695117597250183,0.07886676673757644,0.17582556228036647,0.13463310610811566,0.031930276368701056,0.13978247236374838,0.19574147534352815,0.19574147534352815
066062,PASSPORT BRANDS INC,PBIX,19,70285H101,USA,2320,I,2004,12,2004-12-31,27.833,15.679,80.649,6.37,2.088,0.547,1.046,,6.165,3.192,3.589,3.3262223670690823,0.07898424035015933,0.07501886250134733,0.03758128839866346,0.019652929975209288,0.22149965867854707,0.24363166025940433,0.24363166025940433
266315,KITE REALTY GROUP TRUST,KRG,11,49803T300,USA,6798,A,2013,12,2013-12-31,1763.927,962.894,129.488,,,,29.18,23.78,-2.85,764.798,92.346,7.475297852490473,0.11070856853989385,0.010320582740063824,0.01654263470086914,0.008842549821829221,-0.0016157131219149093,0.4859294063756607,0.4859294063756607
187550,ASPEN AEROGELS INC,ASPN,11,04523Y105,USA,2810,A,2021,12,2021-12-31,182.954,54.546,121.622,-31.159,69.309,9.44,76.564,,-37.094,12.991,2.247,5.209234755123444,-0.2561954251697883,0.37883293068202933,0.4184877072925434,0.05159766935951113,-0.20275041813789257,0.08328869551909222,0.08328869551909222
038284,LONGBOARD PHARMA INC,LBPH,14,54300N103,USA,2834,I,2021,12,2021-12-31,108.952,5.629,,-27.838,0.535,0.001,106.725,,-27.797,0.185,0.339,4.690907418266656,0.11070856853989385,0.004910419267200235,0.9795598061531683,9.17835377046773e-06,-0.2551306997576915,0.00480945737572509,0.00480945737572509
